dataset,classifier,split,method,selection_metric,validation_score,test_accuracy,test_macro_f1,n_selected,selected_features,n_evaluated_subsets,time_sec
ionosphere,knn5,28,sfs,accuracy,0.9431818181818182,0.8977272727272727,0.8832375055285272,2,"f6,f5",99,0.33511709998128936
ionosphere,knn5,28,sfs,macro_f1,0.9362595972765464,0.8977272727272727,0.8832375055285272,2,"f6,f5",99,0.45078600000124425
ionosphere,knn5,28,sbs,accuracy,0.8522727272727273,0.8636363636363636,0.8362282878411911,31,"f1,f2,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f32,f33,f34",131,0.9667682999861427
ionosphere,knn5,28,sbs,macro_f1,0.8280991735537191,0.8636363636363636,0.8362282878411911,31,"f1,f2,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f32,f33,f34",131,1.1197878999519162
ionosphere,knn5,28,random,accuracy,0.9545454545454546,0.8522727272727273,0.8280991735537191,5,"f1,f3,f9,f10,f14",1156,6.4023483999772
ionosphere,knn5,28,random,macro_f1,0.9494252873563218,0.8522727272727273,0.8280991735537191,5,"f1,f3,f9,f10,f14",1156,7.794591800018679
ionosphere,knn5,29,baseline,none,,0.7954545454545454,0.7485714285714286,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.010126600041985512
ionosphere,knn5,29,sfs,accuracy,0.9204545454545454,0.8295454545454546,0.8053958425475454,2,"f29,f5",99,0.31347330001881346
ionosphere,knn5,29,sfs,macro_f1,0.9146223146223147,0.8295454545454546,0.8053958425475454,2,"f29,f5",99,0.44064819999039173
ionosphere,knn5,29,sbs,accuracy,0.9204545454545454,0.7954545454545454,0.7485714285714286,31,"f1,f2,f4,f5,f6,f7,f8,f9,f10,f11,f12,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",131,0.9645502000348642
ionosphere,knn5,29,sbs,macro_f1,0.9091847265221877,0.7954545454545454,0.7485714285714286,31,"f1,f2,f4,f5,f6,f7,f8,f9,f10,f11,f12,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",131,1.1232753999647684
ionosphere,knn5,29,random,accuracy,0.9431818181818182,0.8295454545454546,0.7975149562816383,10,"f1,f6,f7,f8,f9,f10,f19,f21,f31,f33",1156,6.408185300009791
ionosphere,knn5,29,random,macro_f1,0.9362595972765464,0.8295454545454546,0.7975149562816383,10,"f1,f6,f7,f8,f9,f10,f19,f21,f31,f33",1156,7.810491900017951
ionosphere,svm_rbf,0,baseline,none,,0.9318181818181818,0.9241379310344828,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.022545799962244928
ionosphere,svm_rbf,0,sfs,accuracy,0.9318181818181818,0.8636363636363636,0.8526785714285714,2,"f5,f26",99,0.34733160003088415
ionosphere,svm_rbf,0,sfs,macro_f1,0.9228521332554063,0.8636363636363636,0.8526785714285714,2,"f5,f26",99,0.487248899997212
ionosphere,svm_rbf,0,sbs,accuracy,0.9545454545454546,0.9318181818181818,0.9241379310344828,33,"f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.30058029998326674
